# ID RA DEC Hb_z Hb_flux Hb_flux_err Hb_cont Hb_sigmaV OIII_flux OIII_flux_err OIII_cont Ha_z Ha_flux Ha_flux_err Ha_cont Ha_sigmaV NII_flux NII_flux_err NII_cont SII_flux SII_flux_err SII_cont
2422 214.9887087 52.9886209 3.47237 22.084 4.438 0.178 123.904 52.372 4.335 0.187 3.47242 118.494 6.763 0.166 123.903 26.251 7.357 0.17 25.44 5.195 0.218
2508 214.8769394 52.860389 2.28555 81.348 -1.0 0.544 143.807 20.948 -1.0 0.398 2.28535 56.087 7.243 0.4 143.816 31.608 6.456 0.415 -9.0 -9.0 -9.0
2668 215.0014937 52.9440857 2.8995 138.072 -1.0 0.766 168.875 96.229 13.16 0.683 2.89938 165.221 10.114 0.57 168.88 45.182 10.945 0.588 34.679 9.908 0.585
2693 215.0693519 52.9587942 3.66996 53.352 4.399 0.342 166.8 177.139 4.468 0.376 3.66977 207.78 3.538 0.304 166.807 19.196 3.614 0.298 34.247 3.734 0.294
2696 215.1737646 53.0309019 3.35653 10.096 -1.0 0.409 100.075 29.925 2.601 0.378 3.3567 30.11 6.794 0.406 100.071 2.321 -1.0 0.441 4.246 -1.0 0.408
2754 215.1681744 53.0510583 2.24029 13.289 -1.0 0.365 249.323 13.245 3.184 0.306 2.23895 95.621 2.159 0.583 249.426 93.448 2.423 0.581 0.002 0.001 0.592
2900 215.1386231 53.0010372 1.90098 97.812 43.98 4.192 99.966 238.126 84.562 3.687 1.90111 390.719 36.833 3.472 99.962 215.157 27.784 3.492 145.814 44.381 3.257
2904 215.0480768 52.9683408 2.02587 79.432 -1.0 5.273 300.0 183.966 12.284 4.967 2.02587 127.479 6.868 4.924 234.556 129.919 7.243 4.928 164.414 9.771 4.485
2919 214.8858653 52.8397198 1.71858 80.082 13.171 4.279 266.072 842.816 12.521 4.152 1.71858 427.967 7.334 3.977 200.174 395.577 8.291 3.957 139.504 8.976 3.938
3129 215.0541793 52.9259103 1.038 155.123 23.362 9.568 300.0 413.864 24.356 10.006 1.03799 938.81 14.665 13.123 176.274 1574.332 15.517 13.161 642.182 25.536 13.077
3145 214.9497648 52.8687158 2.01586 6.967 2.104 0.263 63.998 50.347 2.207 0.258 2.0218 0.243 -1.0 0.154 63.872 0.244 -1.0 0.151 4.867 0.997 0.143
3187 214.8928069 52.8593413 1.49025 14.608 3.148 0.724 103.374 55.108 2.678 0.691 1.49027 44.202 5.252 0.301 103.373 4.915 -1.0 0.32 4.54 1.886 0.368
3223 215.0727739 53.0118751 2.28746 17.164 5.108 0.084 135.322 70.515 13.039 0.252 2.28697 44.705 3.913 0.072 135.342 6.403 2.565 0.07 4.606 -1.0 0.097
3476 215.045403 52.8945741 1.742 109.466 40.968 13.198 260.553 97.655 -1.0 12.969 1.74375 113.697 34.664 12.495 260.387 89.886 -1.0 12.487 85.107 -1.0 13.007
3501 215.0461715 52.9128179 2.61279 32.48 4.732 0.0 113.87 115.996 5.261 -0.06 2.61251 94.848 3.677 0.0 113.878 3.702 -1.0 -0.054 7.031 2.817 -0.079
3506 215.1562782 53.0598994 2.05645 584.225 9.158 0.0 104.097 4035.819 9.406 0.211 2.05644 1869.112 4.397 0.173 134.815 4.746 -1.0 0.211 12.107 2.987 0.323
3535 215.0501247 52.9419605 2.4897 82.534 5.595 0.235 141.699 391.383 6.506 0.105 2.48958 234.411 2.581 0.125 141.704 10.602 2.124 0.125 34.862 2.809 0.127
3537 215.1436274 53.0048024 2.1629 110.836 5.569 0.103 129.907 349.543 5.517 0.174 2.16275 300.796 1.97 0.06 129.913 2.142 -1.0 0.06 4.97 1.92 0.019
3706 215.1326704 52.9768079 2.03742 9.533 4.317 0.642 225.752 7.322 -1.0 0.622 2.03378 125.886 4.378 0.881 226.024 74.286 4.206 0.904 41.071 5.947 0.987
3788 214.8907857 52.8686992 2.29607 384.805 13.999 1.16 165.146 2482.129 13.515 0.831 2.29586 1229.231 6.167 0.554 165.157 71.769 5.933 0.544 101.464 14.962 0.456
3838 214.8984667 52.8616676 1.92272 73.941 27.025 1.713 163.258 135.29 23.488 2.312 1.92283 293.077 9.322 1.243 163.252 61.862 10.535 1.242 102.628 10.642 1.314
4385 215.179599 53.0620667 3.42294 42.948 3.415 0.033 115.497 279.353 3.801 0.046 3.42303 164.551 5.638 0.149 115.494 11.785 2.455 0.164 13.64 3.653 0.198
4386 215.0676151 52.9843298 2.37221 116.852 11.761 1.107 166.908 397.783 12.163 0.945 2.37197 368.24 5.919 0.416 166.921 32.022 4.893 0.379 -9.0 -9.0 -9.0
4402 215.0559956 53.004531 3.33086 91.561 6.709 0.48 131.236 411.551 6.778 0.492 3.33061 384.473 8.173 0.229 131.244 40.204 12.501 0.22 56.141 10.032 0.273
4680 215.2304288 53.0673957 1.90139 44.918 9.516 1.335 163.319 35.809 8.542 1.404 1.90105 309.839 10.112 1.61 163.338 158.504 9.789 1.605 83.844 10.709 1.644
4768 215.2333809 53.0738011 1.58956 117.848 -1.0 13.679 83.926 30.383 -1.0 13.936 1.59038 23.394 -1.0 16.008 83.9 70.105 18.257 16.125 6.416 14.581 15.783
5106 214.9095971 52.8802025 2.1443 18.536 -1.0 0.274 106.359 260.691 15.185 0.285 2.1443 131.217 9.941 0.299 132.225 10.716 -1.0 0.307 16.859 4.982 0.279
5113 214.9692881 52.9275762 1.40202 61.931 9.002 1.039 109.208 203.761 7.92 1.088 1.40171 189.337 18.461 1.004 109.222 17.798 -1.0 1.015 55.286 13.32 0.83
5117 215.0659987 52.9982025 1.5737 69.098 17.274 2.011 101.088 230.597 13.609 2.007 1.57355 364.661 24.586 0.937 101.094 27.897 10.966 0.934 21.941 -1.0 1.074
5251 214.9527213 52.827931 3.10858 94.349 7.13 0.345 132.741 450.419 7.05 0.324 3.10838 491.314 8.687 0.0 132.747 14.769 2.723 -0.092 71.911 8.895 0.202
5300 214.9665098 52.8466679 2.13739 71.05 4.719 0.54 156.155 302.142 4.851 0.579 2.1371 230.949 5.311 0.306 156.169 6.262 -1.0 0.305 34.613 3.897 0.221
5362 214.9426659 52.8299741 1.71728 19.117 4.978 0.73 155.257 83.262 11.773 0.407 1.71731 86.167 8.902 0.41 155.255 17.861 3.987 0.392 8.694 -1.0 0.359
5409 214.8681252 52.8388596 1.69948 62.283 7.209 1.522 118.908 82.944 7.491 1.389 1.69932 235.187 12.321 1.699 118.915 42.229 8.047 1.73 16.216 3.597 1.771
5413 215.0723474 52.9891068 1.73446 12.52 -1.0 0.994 126.052 3.22 -1.0 1.004 1.74149 84.725 4.226 0.518 125.729 10.545 2.161 0.517 16.143 3.121 0.474
5430 214.9713251 52.9320531 1.67677 233.314 21.994 5.566 120.702 218.069 32.451 5.132 1.67694 789.716 68.647 2.583 120.694 302.835 53.618 3.02 232.246 51.825 3.803
5582 215.0355582 52.9466806 2.18534 189.522 39.616 1.542 144.497 630.741 46.763 1.613 2.1853 765.571 26.671 2.17 144.499 31.285 -1.0 2.125 199.447 36.616 1.701
5632 215.0625372 52.994959 2.5314 149.044 5.132 0.94 168.208 812.86 5.201 0.864 2.53132 543.039 3.208 0.478 168.212 38.644 2.893 0.478 49.754 3.927 0.454
6265 215.1375882 53.0031231 -9.0 -9.0 -9.0 -9.0 -9.0 29.831 -1.0 1.788 1.90214 239.756 24.975 0.0 106.803 22.287 -1.0 -0.457 152.508 29.597 1.168
6540 215.1252465 53.0048165 1.57724 1854.248 61.253 12.8 133.682 3892.375 62.91 12.841 1.57724 8115.071 71.085 10.886 108.411 1163.164 65.73 10.803 1518.197 82.684 9.996
