# ID RA DEC Hb_z Hb_flux Hb_flux_err Hb_cont Hb_sigmaV OIII_5007_flux OIII_5007_flux_err OIII_5007_cont Ha_z Ha_flux Ha_flux_err Ha_cont Ha_sigmaV NII_6583_flux NII_6583_flux_err NII_6583_cont SII_flux SII_flux_err SII_cont SIII_9531_z SIII_9531_flux SIII_9531_flux_err SIII_9531_cont SIII_9531_sigmaV CI_9850_flux CI_9850_flux_err CI_9850_cont HeI_10830_z HeI_10830_flux HeI_10830_flux_err HeI_10830_cont HeI_10830_sigmaV PaG_flux PaG_flux_err PaG_cont PII_1188_flux PII_1188_flux_err PII_1188_cont FeII_1257_flux FeII_1257_flux_err FeII_1257_cont PaB_z PaB_flux PaB_flux_err PaB_cont PaB_sigmaV FeII_164_flux FeII_164_flux_err FeII_164_cont PaA_z PaA_flux PaA_flux_err PaA_cont PaA_sigmaV
2422 214.9887087 52.9886209 3.47237 22.084 4.438 0.178 123.904 52.372 4.335 0.187 3.47242 118.494 6.763 0.166 123.903 26.251 7.357 0.17 25.44 5.195 0.218 3.47225 27.106 7.917 0.245 143.081 6.244 -1.0 0.185 3.47269 35.73 7.648 0.25 123.895 37.776 -1.0 0.247 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0
2508 214.8769394 52.860389 2.28555 81.348 -1.0 0.544 143.807 20.948 -1.0 0.398 2.28535 56.087 7.243 0.4 143.816 31.608 6.456 0.415 -9.0 -9.0 -9.0 2.28619 20.859 5.899 0.644 163.302 5.285 1.519 0.577 2.28574 23.337 2.563 0.662 143.799 11.808 0.564 0.664 4.143 -1.0 0.675 6.877 -1.0 0.721 2.2858 24.29 5.907 0.721 143.796 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0
2668 215.0014937 52.9440857 2.8995 138.072 -1.0 0.766 168.875 96.229 13.16 0.683 2.89938 165.221 10.114 0.57 168.88 45.182 10.945 0.588 34.679 9.908 0.585 2.89969 88.533 6.857 0.579 193.865 10.215 -1.0 0.585 2.90068 80.132 7.258 0.575 168.824 43.7 -1.0 0.602 16.809 -1.0 0.494 23.383 -1.0 0.56 2.89975 49.675 14.177 0.57 168.864 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0
2693 215.0693519 52.9587942 3.66996 53.352 4.399 0.342 166.8 177.139 4.468 0.376 3.66977 207.78 3.538 0.304 166.807 19.196 3.614 0.298 34.247 3.734 0.294 3.66926 51.881 5.123 0.205 191.828 12.107 2.967 0.236 3.66822 11.854 4.463 0.233 166.863 38.624 -1.0 0.245 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0
2696 215.1737646 53.0309019 3.35653 10.096 -1.0 0.409 100.075 29.925 2.601 0.378 3.3567 30.11 6.794 0.406 100.071 2.321 -1.0 0.441 4.246 -1.0 0.408 3.35663 0.961 -1.0 0.14 75.072 1.423 -1.0 0.129 3.35722 8.175 2.376 0.116 100.059 10.016 -1.0 0.112 2.902 -1.0 0.082 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0
2754 215.1681744 53.0510583 2.24029 13.289 -1.0 0.365 249.323 13.245 3.184 0.306 2.23895 95.621 2.159 0.583 249.426 93.448 2.423 0.581 0.002 0.001 0.592 2.23967 61.669 3.523 1.071 274.365 19.97 8.549 1.16 2.23872 31.545 2.496 1.255 249.444 17.38 -1.0 1.254 14.856 6.274 1.229 18.403 4.276 1.227 2.23859 63.752 4.533 1.195 249.454 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0 -9.0
2900 215.1386231 53.0010372 1.90098 97.812 43.98 4.192 99.966 238.126 84.562 3.687 1.90111 390.719 36.833 3.472 99.962 215.157 27.784 3.492 145.814 44.381 3.257 1.90177 112.813 21.897 4.032 99.939 16.743 -1.0 4.201 1.90174 86.53 14.736 4.721 99.94 65.428 -1.0 4.689 37.556 9.389 4.517 75.599 26.105 4.616 1.90091 58.49 13.056 4.388 99.969 28.164 11.581 2.507 -9.0 -9.0 -9.0 -9.0 -9.0
2904 215.0480768 52.9683408 2.02587 79.432 -1.0 5.273 300.0 183.966 12.284 4.967 2.02587 127.479 6.868 4.924 234.556 129.919 7.243 4.928 164.414 9.771 4.485 2.02585 28.179 8.386 2.54 209.557 6.039 -1.0 2.642 2.02276 0.354 -1.0 2.504 10.01 1.432 -1.0 2.482 2.728 0.65 2.134 29.318 3.296 2.049 2.02441 20.828 -1.0 1.987 187.431 7.53 -1.0 1.579 -9.0 -9.0 -9.0 -9.0 -9.0
2919 214.8858653 52.8397198 1.71858 80.082 13.171 4.279 266.072 842.816 12.521 4.152 1.71858 427.967 7.334 3.977 200.174 395.577 8.291 3.957 139.504 8.976 3.938 1.71852 274.539 8.382 2.927 209.505 33.547 5.744 2.882 1.7187 225.507 4.359 2.859 262.22 53.489 0.046 2.847 11.255 5.06 2.759 56.322 17.426 2.587 1.71843 80.693 17.272 2.448 217.93 41.139 6.61 2.245 1.71852 286.314 8.149 2.175 142.015
3129 215.0541793 52.9259103 1.038 155.123 23.362 9.568 300.0 413.864 24.356 10.006 1.03799 938.81 14.665 13.123 176.274 1574.332 15.517 13.161 642.182 25.536 13.077 1.03787 417.175 21.674 12.887 201.286 171.419 20.485 13.129 1.03829 368.365 11.716 12.686 143.075 133.986 0.123 12.493 83.386 17.909 12.592 159.011 13.304 12.722 1.03785 260.634 13.44 12.585 123.068 131.12 10.231 8.429 1.03793 974.4 14.081 8.07 154.038
